EBNO,Mod,RateRS,RateConv,BerEst
7.8,2FSK,[223 255],'1/2',0
7.9,2FSK,[223 255],'1/2',0
8,2FSK,[223 255],'1/2',0
8.1,2FSK,[223 255],'1/2',0
8.2,2FSK,[223 255],'1/2',0
8.3,2FSK,[223 255],'1/2',0
8.4,2FSK,[223 255],'1/2',0
8.5,2FSK,[223 255],'1/2',0
8.6,2FSK,[223 255],'1/2',0
8.7,2FSK,[223 255],'1/2',0
8.8,2FSK,[223 255],'1/2',0
8.9,2FSK,[223 255],'1/2',0
9,2FSK,[223 255],'1/2',0
9.1,2FSK,[223 255],'1/2',0
9.2,2FSK,[223 255],'1/2',0
9.3,2FSK,[223 255],'1/2',0
9.4,2FSK,[223 255],'1/2',0
9.5,2FSK,[223 255],'1/2',0
9.6,2FSK,[223 255],'1/2',0
9.7,2FSK,[223 255],'1/2',0
9.8,2FSK,[223 255],'1/2',0
9.9,2FSK,[223 255],'1/2',0
10,2FSK,[223 255],'1/2',0
10.1,2FSK,[223 255],'1/2',0
10.2,2FSK,[223 255],'1/2',0
10.3,2FSK,[223 255],'1/2',0
10.4,2FSK,[223 255],'1/2',0
10.5,2FSK,[223 255],'1/2',0
10.6,2FSK,[223 255],'1/2',0
10.7,2FSK,[223 255],'1/2',0
10.8,2FSK,[223 255],'1/2',0
10.9,2FSK,[223 255],'1/2',0
11,2FSK,[223 255],'1/2',0
11.1,2FSK,[223 255],'1/2',0
11.2,2FSK,[223 255],'1/2',0
11.3,2FSK,[223 255],'1/2',0
11.4,2FSK,[223 255],'1/2',0
11.5,2FSK,[223 255],'1/2',0
11.6,2FSK,[223 255],'1/2',0
11.7,2FSK,[223 255],'1/2',0
11.8,2FSK,[223 255],'1/2',0
11.9,2FSK,[223 255],'1/2',0
12,2FSK,[223 255],'1/2',0
12.1,2FSK,[223 255],'1/2',0
12.2,2FSK,[223 255],'1/2',0
12.3,2FSK,[223 255],'1/2',0
12.4,2FSK,[223 255],'1/2',0
12.5,2FSK,[223 255],'1/2',0
12.6,2FSK,[223 255],'1/2',0
12.7,2FSK,[223 255],'1/2',0
12.8,2FSK,[223 255],'1/2',0
12.9,2FSK,[223 255],'1/2',0
13,2FSK,[223 255],'1/2',0
13.1,2FSK,[223 255],'1/2',0
13.2,2FSK,[223 255],'1/2',0
13.3,2FSK,[223 255],'1/2',0
13.4,2FSK,[223 255],'1/2',0
13.5,2FSK,[223 255],'1/2',0
13.6,2FSK,[223 255],'1/2',0
13.7,2FSK,[223 255],'1/2',0
13.8,2FSK,[223 255],'1/2',0
13.9,2FSK,[223 255],'1/2',0
14,2FSK,[223 255],'1/2',0
14.1,2FSK,[223 255],'1/2',0
14.2,2FSK,[223 255],'1/2',0
14.3,2FSK,[223 255],'1/2',0
14.4,2FSK,[223 255],'1/2',0
14.5,2FSK,[223 255],'1/2',0
14.6,2FSK,[223 255],'1/2',0
14.7,2FSK,[223 255],'1/2',0
14.8,2FSK,[223 255],'1/2',0
14.9,2FSK,[223 255],'1/2',0
15,2FSK,[223 255],'1/2',0
15.1,2FSK,[223 255],'1/2',0
15.2,2FSK,[223 255],'1/2',0
15.3,2FSK,[223 255],'1/2',0
15.4,2FSK,[223 255],'1/2',0
15.5,2FSK,[223 255],'1/2',0
15.6,2FSK,[223 255],'1/2',0
15.7,2FSK,[223 255],'1/2',0
15.8,2FSK,[223 255],'1/2',0
15.9,2FSK,[223 255],'1/2',0
16,2FSK,[223 255],'1/2',0
16.1,2FSK,[223 255],'1/2',0
16.2,2FSK,[223 255],'1/2',0
16.3,2FSK,[223 255],'1/2',0
16.4,2FSK,[223 255],'1/2',0
16.5,2FSK,[223 255],'1/2',0
16.6,2FSK,[223 255],'1/2',0
16.7,2FSK,[223 255],'1/2',0
16.8,2FSK,[223 255],'1/2',0
16.9,2FSK,[223 255],'1/2',0
17,2FSK,[223 255],'1/2',0
17.1,2FSK,[223 255],'1/2',0
17.2,2FSK,[223 255],'1/2',0
17.3,2FSK,[223 255],'1/2',0
17.4,2FSK,[223 255],'1/2',0
17.5,2FSK,[223 255],'1/2',0
17.6,2FSK,[223 255],'1/2',0
17.7,2FSK,[223 255],'1/2',0
17.8,2FSK,[223 255],'1/2',0
17.9,2FSK,[223 255],'1/2',0
18,2FSK,[223 255],'1/2',0
18.1,2FSK,[223 255],'1/2',0
18.2,2FSK,[223 255],'1/2',0
18.3,2FSK,[223 255],'1/2',0
18.4,2FSK,[223 255],'1/2',0
18.5,2FSK,[223 255],'1/2',0
18.6,2FSK,[223 255],'1/2',0
18.7,2FSK,[223 255],'1/2',0
18.8,2FSK,[223 255],'1/2',0
18.9,2FSK,[223 255],'1/2',0
19,2FSK,[223 255],'1/2',0
19.1,2FSK,[223 255],'1/2',0
19.2,2FSK,[223 255],'1/2',0
19.3,2FSK,[223 255],'1/2',0
19.4,2FSK,[223 255],'1/2',0
19.5,2FSK,[223 255],'1/2',0
19.6,2FSK,[223 255],'1/2',0
19.7,2FSK,[223 255],'1/2',0
19.8,2FSK,[223 255],'1/2',0
19.9,2FSK,[223 255],'1/2',0
20,2FSK,[223 255],'1/2',0
-10,2FSK,[223 255],'2/3',0.509529147982063
-9.9,2FSK,[223 255],'2/3',0
-9.8,2FSK,[223 255],'2/3',0.511491031390135
-9.7,2FSK,[223 255],'2/3',0
-9.6,2FSK,[223 255],'2/3',0.498038116591928
-9.5,2FSK,[223 255],'2/3',0
-9.4,2FSK,[223 255],'2/3',0.50420403587444
-9.3,2FSK,[223 255],'2/3',0
-9.2,2FSK,[223 255],'2/3',0.48402466367713
-9.1,2FSK,[223 255],'2/3',0
-9,2FSK,[223 255],'2/3',0.50420403587444
-8.9,2FSK,[223 255],'2/3',0
-8.8,2FSK,[223 255],'2/3',0.505044843049327
-8.7,2FSK,[223 255],'2/3',0
-8.6,2FSK,[223 255],'2/3',0.519058295964126
-8.5,2FSK,[223 255],'2/3',0
-8.4,2FSK,[223 255],'2/3',0.506446188340807
-8.3,2FSK,[223 255],'2/3',0
-8.2,2FSK,[223 255],'2/3',0.494955156950673
-8.1,2FSK,[223 255],'2/3',0
-8,2FSK,[223 255],'2/3',0.512331838565022
-7.9,2FSK,[223 255],'2/3',0
-7.8,2FSK,[223 255],'2/3',0.509248878923767
-7.7,2FSK,[223 255],'2/3',0
-7.6,2FSK,[223 255],'2/3',0.508408071748879
-7.5,2FSK,[223 255],'2/3',0
-7.4,2FSK,[223 255],'2/3',0.500560538116592
-7.3,2FSK,[223 255],'2/3',0
-7.2,2FSK,[223 255],'2/3',0.50140134529148
-7.1,2FSK,[223 255],'2/3',0
-7,2FSK,[223 255],'2/3',0.499439461883408
-6.9,2FSK,[223 255],'2/3',0
-6.8,2FSK,[223 255],'2/3',0.516255605381166
-6.7,2FSK,[223 255],'2/3',0
-6.6,2FSK,[223 255],'2/3',0.498038116591928
-6.5,2FSK,[223 255],'2/3',0
-6.4,2FSK,[223 255],'2/3',0.49719730941704
-6.3,2FSK,[223 255],'2/3',0
-6.2,2FSK,[223 255],'2/3',0.49719730941704
-6.1,2FSK,[223 255],'2/3',0
-6,2FSK,[223 255],'2/3',0.504764573991031
-5.9,2FSK,[223 255],'2/3',0
-5.8,2FSK,[223 255],'2/3',0.5
-5.7,2FSK,[223 255],'2/3',0
-5.6,2FSK,[223 255],'2/3',0.500280269058296
-5.5,2FSK,[223 255],'2/3',0
-5.4,2FSK,[223 255],'2/3',0.496917040358744
-5.3,2FSK,[223 255],'2/3',0
-5.2,2FSK,[223 255],'2/3',0.510930493273543
-5.1,2FSK,[223 255],'2/3',0
-5,2FSK,[223 255],'2/3',0.505044843049327
-4.9,2FSK,[223 255],'2/3',0
-4.8,2FSK,[223 255],'2/3',0.508968609865471
-4.7,2FSK,[223 255],'2/3',0
-4.6,2FSK,[223 255],'2/3',0.49859865470852
-4.5,2FSK,[223 255],'2/3',0
-4.4,2FSK,[223 255],'2/3',0.491591928251121
-4.3,2FSK,[223 255],'2/3',0
-4.2,2FSK,[223 255],'2/3',0.497757847533632
-4.1,2FSK,[223 255],'2/3',0
-4,2FSK,[223 255],'2/3',0.487948430493274
-3.9,2FSK,[223 255],'2/3',0
-3.8,2FSK,[223 255],'2/3',0.480381165919283
-3.7,2FSK,[223 255],'2/3',0
-3.6,2FSK,[223 255],'2/3',0.497757847533632
-3.5,2FSK,[223 255],'2/3',0
-3.4,2FSK,[223 255],'2/3',0.503923766816143
-3.3,2FSK,[223 255],'2/3',0
-3.2,2FSK,[223 255],'2/3',0.504484304932735
-3.1,2FSK,[223 255],'2/3',0
-3,2FSK,[223 255],'2/3',0.495235426008969
-2.9,2FSK,[223 255],'2/3',0
-2.8,2FSK,[223 255],'2/3',0.510089686098655
-2.7,2FSK,[223 255],'2/3',0
-2.6,2FSK,[223 255],'2/3',0.493834080717489
-2.5,2FSK,[223 255],'2/3',0
-2.4,2FSK,[223 255],'2/3',0.459360986547085
-2.3,2FSK,[223 255],'2/3',0
-2.2,2FSK,[223 255],'2/3',0.484585201793722
-2.1,2FSK,[223 255],'2/3',0
-2,2FSK,[223 255],'2/3',0.495515695067265
-1.9,2FSK,[223 255],'2/3',0
-1.8,2FSK,[223 255],'2/3',0.493553811659193
-1.7,2FSK,[223 255],'2/3',0
-1.6,2FSK,[223 255],'2/3',0.497477578475336
-1.5,2FSK,[223 255],'2/3',0
-1.4,2FSK,[223 255],'2/3',0.478979820627803
-1.3,2FSK,[223 255],'2/3',0
-1.2,2FSK,[223 255],'2/3',0.495795964125561
-1.1,2FSK,[223 255],'2/3',0
-1,2FSK,[223 255],'2/3',0.506726457399103
-0.9,2FSK,[223 255],'2/3',0
-0.799999999999999,2FSK,[223 255],'2/3',0.478699551569507
-0.699999999999999,2FSK,[223 255],'2/3',0
-0.6,2FSK,[223 255],'2/3',0.478139013452915
-0.5,2FSK,[223 255],'2/3',0
-0.399999999999999,2FSK,[223 255],'2/3',0.484304932735426
